trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.5, 'e': 0.9335804264972017}",30,0,-192.16179370190707,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.931691227585549}",25,0,-61.91565765222674,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9297764858882515}",20,0,-94.10845639746893,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.92783625389892}",30,0,-219.56996452700585,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.9258705848099947}",25,0,-219.67597047154143,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 4}",0
76,False,"{'a': 0.5, 'e': 0.9238795325112867}",20,0,-55.90079326903335,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9218631515885005}",20,0,-36.52841717053481,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9198214973217377}",20,0,-114.95100765552016,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9177546256839811}",35,0,-96.20222582849401,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.915662593339561}",20,0,-76.44011590783822,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9135454576426009}",20,0,-110.23852359283937,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.9114032766354453}",30,0,-164.2885933688208,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9092361090470685}",20,0,-119.63425433369183,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.907044014291465}",25,0,-180.90940665377434,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.9048270524660196}",20,0,-133.73988841470924,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9025852843498606}",25,0,-150.9448942497258,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.9003187714021935}",20,0,-83.4198369885271,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.8980275757606156}",25,2,-23.506627717327284,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.8957117602394129}",20,0,-129.40650893109054,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
90,False,"{'a': 0.5, 'e': 0.8933713883278376}",20,0,-126.64769299785259,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.8910065241883679}",20,0,-72.89112346525653,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8886172326549489}",30,0,-56.13653149977257,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8862035792312147}",25,0,-115.71408837014678,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.8837656300886935}",25,1,-93.84099793322335,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.8813034520649923}",25,0,-22.554143598421824,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.8788171126619654}",30,0,-154.41236962650876,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.8763066800438637}",35,0,-208.09682949650812,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.8737722230354652}",20,0,-15.734568247010186,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.8712138111201895}",25,0,-125.40360683660775,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.8686315144381913}",20,0,-154.84745646513517,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8660254037844387}",30,0,-210.47853850019703,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
102,False,"{'a': 0.5, 'e': 0.8633955506067716}",20,0,-127.4542338744334,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.8607420270039436}",25,0,-72.8765933476255,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.8580649057236446}",20,10,-30.241773972577885,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.8553642601605067}",20,0,-71.79305413677358,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.8526401643540923}",20,0,-265.2447394847114,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 6}",0
107,False,"{'a': 0.5, 'e': 0.849892692986864}",20,9,-40.22952644037136,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.8471219213821372}",25,0,-77.91664099884474,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
